Aeon,groove metal//black metal//death metal//stoner metal//gothic metal//industrial metal//thrash metal//doom metal
Aeon Noctis,black metal//symphonic metal//gothic metal
Aeon Prime,heavy metal
Aeon Vortex,electronic metal//black metal//industrial metal
Aeon Zen,progressive metal
Aeon of Decay,metalcore metal//death metal//thrash metal
Aeon of Fear,black metal
Aeon of Horus,death metal//progressive metal
Aeonblack,power metal
Aeonic,death metal//thrash metal
Aeons,gothic metal//industrial metal
Aeons of Hate,black metal//death metal//thrash metal
Aeons of Old,black metal//death metal
Aeons of Silence,death metal
Aeons of Sorrow,doom metal
Aeons ov Frost,black metal//symphonic metal
Aeonsgate,doom metal
Aeracura,black metal//death metal
Aerial View,progressive metal
Aerik Von Band,heavy metal
Aernus,death metal//progressive metal
Aesbard,viking metal
Aeshma,black metal
Aeshva Daeva,black metal
Aesir,black metal//power metal//progressive metal//thrash metal
Aesmah,death metal
Aestees,death metal
Aesth,metalcore metal//death metal
Aesthete,progressive metal
Aetas,death metal//progressive metal//doom metal
Aeternal Seprium,power metal//heavy metal
Aeternam,death metal//symphonic metal//folk metal
Aeteros,death metal
Aetheres,black metal
Aeturnus,death metal//thrash metal
Aeurtum,death metal//progressive metal
Aevum,black metal//symphonic metal//power metal
Affecti Veternus,death metal
Affector,progressive metal
Afflicted Creation,deathcore metal//death metal
Afgrund,death metal//grindcore metal
Afiqme,progressive metal
Afire,thrash metal//heavy metal
Afirence,symphonic metal//gothic metal
Afkald,black metal
African Corpse,death metal//thrash metal
Afrodite,heavy metal
Aftenrusk,black metal
After All Over,death metal
After Demise,thrash metal
After Dusk,thrash metal//heavy metal
After Eternity,progressive metal
After Fall,sludge metal
After Forever,symphonic metal//power metal//gothic metal
After Rain,symphonic metal//doom metal
After the Abduction,death metal
After the Bombs,thrash metal
After the Last Sky,metalcore metal//death metal//grindcore metal
After:Life,power metal
AfterHate,deathcore metal//death metal
AfterLife,thrash metal//heavy metal
Afterblood,death metal//thrash metal
Afterburner,death metal
Aftercoma,metalcore metal
Afterglow,black metal//death metal//progressive metal//gothic metal//doom metal
Afterlife Symphony,symphonic metal
Aftermass,death metal//thrash metal
Aftermath A.D.,death metal//thrash metal
Afterwind,metalcore metal//thrash metal
Afubad,progressive metal
Ag-Serpent,black metal//doom metal
Agabus,metalcore metal//groove metal
Agailiarept,black metal
Against,metalcore metal//groove metal//thrash metal//heavy metal
Against Myself,symphonic metal
Against the Flow,doom metal
Against the Tide,death metal
Agalariept,death metal
Agalarieth,black metal
Agalirept,black metal
Aganis,black metal//pagan metal//doom metal
Agankast,thrash metal//heavy metal
Agares,black metal
Agaroth,black metal//death metal//power metal//heavy metal
Agarthia,black metal
Agarwean,death metal//thrash metal
Agatus,black metal//heavy metal
Age One,progressive metal//heavy metal//speed metal
Age of Carnage,black metal//death metal
Age of Darkness,black metal
Age of Desolation,black metal
Age of Fear,heavy metal
Age of Fury,death metal
Age of Illusion,progressive metal//thrash metal//heavy metal
Age of Kings,progressive metal
Age of Lust,black metal
Age of Nefarious,thrash metal//speed metal
Age of Plague,death metal//grindcore metal
Age of Ruin,death metal//thrash metal//grindcore metal
Age of Shadows,power metal
Age of Silence,avant-garde metal//progressive metal
Age of Storm,death metal//doom metal
Age of Suffering,death metal
Age of Thorns,black metal//symphonic metal
Age of Woe,death metal
Ageless,black metal//death metal//gothic metal//heavy metal
Ageless Oblivion,death metal//progressive metal
Agenda,thrash metal//heavy metal//speed metal
Agent Black,black metal//power metal//thrash metal
Agent Orange,heavy metal
Ages Gone,death metal//avant-garde metal
Ages in Oblivion,death metal//progressive metal
Aggelos,gothic metal
Agger,black metal
Aggravator,thrash metal
Aggregate,death metal//thrash metal
Aggressive Evil,black metal//death metal
Aggressive Mind,progressive metal
Aggrevated,death metal
Agharta,heavy metal
Aghartha,black metal
Agharti,gothic metal
Aghast Insane,thrash metal
Aghone,black metal
Aghora,progressive metal
Agiel,black metal//death metal
Agmen,black metal//death metal
Agnostic,death metal
Agnostica,black metal//symphonic metal//progressive metal
Agnosys,death metal
Agnus Die,thrash metal
Ago,heavy metal
Agon,death metal//progressive metal//gothic metal//doom metal
Agone,death metal
Agonia Eterna,black metal
Agonia Pre-Mortem,death metal//doom metal
Agonie,black metal//thrash metal
Agony Bag,progressive metal
Agony Eclipsed,death metal//thrash metal
Agony Hell,black metal
Agony Lords,death metal
Agony Spawn,death metal
Agony and Scream,death metal
Agony of Deceit,thrash metal
Agony of the Bleeding Flesh,black metal
Agony's Despair,thrash metal//heavy metal//speed metal
Agonychild,heavy metal
Agoraphobia,black metal//death metal//thrash metal
Agorar,death metal//progressive metal
Agouro,black metal
Agratz,black metal
Agresia,thrash metal
Agresja,death metal//grindcore metal
Agresor,thrash metal//speed metal
Agressor,metalcore metal//death metal//power metal//thrash metal
Agrevyum,death metal//thrash metal
Agrippa93,progressive metal//industrial metal
Agrophobia,thrash metal
Agroth,death metal
Aguirre,sludge metal
Ahab's Ghost,heavy metal
Ahakay N' Bror,black metal
Ahamkara,black metal
Ahilless,black metal//death metal//experimental metal
Ahmasiah,death metal
Ahnengrab,black metal//pagan metal
Ahpuch Oztoc,black metal
Ahriman,black metal//death metal//progressive metal
Ahtuch,black metal
Ahvawe,black metal//thrash metal//speed metal
Ahzidal,black metal
Aiam,power metal
Aibhill Striga,doom metal
Aic Miquina,heavy metal
Aigro Mucifelam,black metal
Aihos,black metal
Ailment,doom metal
Aiming High,power metal
Ain,death metal
Air Borne,heavy metal
Airdash,thrash metal
Airhead,thrash metal
Airheads,heavy metal
Airlines of Terror,death metal//grindcore metal
Airs,black metal
Aivarim,black metal
Ajal,black metal//death metal
Ajana,progressive metal//doom metal
Ajattara,black metal
Akani,groove metal
Akantophis,black metal
Akarid,death metal//thrash metal
Akasava,doom metal
Akasha,groove metal//thrash metal//heavy metal
Akashic,symphonic metal//progressive metal
Akathisia,gothic metal//doom metal
Akelarre,black metal//death metal
Akeldam,black metal
Akem Manah,death metal//gothic metal//doom metal
Aker,thrash metal
Akerbel Kropos,metalcore metal//deathcore metal
Akercocke,black metal//death metal//progressive metal
Akhansha,black metal
Akhlys,black metal
Akilla,power metal//speed metal
Akitsa,black metal
Akma,death metal
Akoma,symphonic metal//gothic metal
Akral Necrosis,black metal
Akrasatrum,black metal//death metal
Akrasia,black metal
Akrateia,death metal//thrash metal
Akrea,death metal
Akris,sludge metal//stoner metal
Akrotheism,black metal
Akryal,death metal
Aksumite,black metal
Aktarum,black metal//folk metal
Aktion Totenkopf,black metal
Akurazbrukk,black metal
Al Azred,death metal
Al Lat,black metal//symphonic metal//folk metal
Al Sirat,death metal//thrash metal
Ala Drama,power metal//progressive metal
Alabama Church Fire,sludge metal//doom metal
Alabama Roadstars,metalcore metal
Alabaster,groove metal
Alam Kubur,black metal
Alan Azar,progressive metal
Alarm,heavy metal
Alarme,thrash metal
Alarum,progressive metal//thrash metal//heavy metal
Alas Negras,heavy metal
Alba Oscura,power metal
Albatroz,power metal
Albatrozz,sludge metal//thrash metal
Albedo,thrash metal
Albert,thrash metal//heavy metal
Albez Duz,gothic metal//doom metal
Albion Kross,power metal//progressive metal
Albtraum,black metal
Alchem,gothic metal
Alchemy,black metal//thrash metal//heavy metal//doom metal
Alchemy Room,progressive metal
Alchemy X,progressive metal
Alchemy of Life,gothic metal//doom metal
Alchemyst,black metal//death metal
Alchera,death metal//gothic metal
Alchimist,power metal//progressive metal
Alcoholatry,stoner metal//doom metal
Alcoholic Rites,black metal//thrash metal
Alcoholic Smashing War,black metal
Alcoholicaust,black metal//death metal
Alcoholism,black metal
Alcohollica,heavy metal
Alcootest,thrash metal
Aldare,black metal//death metal
Aldebarana,black metal
Aldehezt,thrash metal
Alder,black metal
Alder Glade,black metal
Aldersgate,heavy metal
Aldrahn,black metal//pagan metal
Aldren Liebe,gothic metal
Aleatory,heavy metal
Alejandro Del Pino,progressive metal
Alek,progressive metal//gothic metal
Alekhine's Gun,groove metal//death metal
Alendalua,black metal
Alene Misantropi,black metal
Alesthor,death metal
Aletheian,death metal
Alex Masi,heavy metal
Alex from Hell,thrash metal//heavy metal
Alexander Oden,death metal//progressive metal
Alexander Scardavian,doom metal
Alexandria,metalcore metal//progressive metal//gothic metal//heavy metal
Alfajor del Dolor,thrash metal
Algalord,power metal//heavy metal
Algea,black metal
Algoma,sludge metal//doom metal
Algophobia,death metal
Algor,black metal
Algorn,black metal
Alhana,symphonic metal//power metal
Alianza,black metal//death metal//heavy metal
Alias,power metal
Alicate,power metal//heavy metal
Alice in Chains,heavy metal
Alice's Trip,stoner metal//doom metal
Alidad,black metal
Alien Gods,black metal//death metal
Alien Infection,thrash metal
Alien Scream,thrash metal
Alien Strange,progressive metal
Alienante Damnation,black metal
Alienated,heavy metal
Alienchrist,black metal
Alighieri,deathcore metal//death metal
Alight,gothic metal
Alion Andersson,thrash metal
Aliquid,power metal//progressive metal
Alison,thrash metal
Alister,progressive metal//thrash metal
Alitor,progressive metal//thrash metal
Alive in Torment,thrash metal
Alkaloid,death metal//progressive metal//heavy metal
Alkanza,groove metal//thrash metal
Alkateya,power metal//heavy metal
Alkatraz,groove metal//thrash metal
Alkira,groove metal//thrash metal
Alkoholimous,speed metal
Alkoholizer,thrash metal
Alkonost,black metal//pagan metal//doom metal//folk metal
All Amort,death metal
All Blessed,death metal
All Dreams Dying,death metal//progressive metal
All Falls Down,death metal
All Forlorn,death metal//thrash metal
All Hell,black metal//death metal//thrash metal
All Left Drowning,metalcore metal//death metal
All Life Ends,metalcore metal//black metal//death metal
All Out War,thrash metal
All Seeing Eyes,progressive metal//heavy metal
All Shall End,gothic metal
All This Filth,groove metal//death metal//thrash metal
All We Hate,groove metal//thrash metal
All in Ashes,black metal//death metal
All of a Murder Art,death metal//industrial metal
Allaxull,black metal
Alldrig,black metal
Allequince,heavy metal
Allerjen,groove metal//death metal
Alles Blau,thrash metal
Allfader,black metal//death metal
Allienatyon,death metal
Allison Gross,black metal//death metal
Allmacht,black metal
Allobrogia,black metal
Allocen,black metal
Allorous,black metal
Allsherjar,black metal//death metal
Alluciuspustus,death metal//grindcore metal
Allumn,black metal
Alluress,progressive metal//heavy metal
Allvaters Zorn,black metal
Alma Blanca,power metal//heavy metal
Alma Dorada,heavy metal
Alma Mater,death metal//gothic metal
Alma Matter,black metal
Alma Persona,death metal
AlmaMorta,death metal//thrash metal
Almacridaem,gothic metal
Almighty,thrash metal//heavy metal
Almighty Sathanas,black metal//death metal
Almost Dead,groove metal//thrash metal
Almost Heaven,doom metal
Almost Honest,stoner metal
Almuric,power metal//heavy metal
Alogia,power metal//progressive metal
Alone in the Dark,death metal//doom metal
Alone in the Silence,metalcore metal//death metal
Alpha Ascension,deathcore metal
Alpha Decay,avant-garde metal
Alpha Drone,black metal//industrial metal
Alpha Thanatos,thrash metal
Alpharist,groove metal//thrash metal
Alphastate,heavy metal
Alphoenix,metalcore metal//death metal
Alq,thrash metal//heavy metal
Alruna,black metal
Alrune Mandragora,black metal
Alsion,power metal
Also Known As,metalcore metal//groove metal
Altar,sludge metal//death metal//symphonic metal//power metal//thrash metal//heavy metal//speed metal//doom metal
Altar Blood,death metal
Altar de Sacrificio,black metal//death metal
Altar of Gore,black metal//death metal
Altar of Profanation,black metal
Altar of Sacrifice,death metal
Altar of Scion,death metal
Altarage,black metal//death metal
Altars of Annihilation,thrash metal
Alte Eris,gothic metal
Alter Self,death metal//thrash metal
Alterbeast,death metal
Altercation,metalcore metal//groove metal
Altereco,death metal//thrash metal
Altered Beast,heavy metal
Altered Dominance,groove metal//thrash metal
Altered Existence,death metal
Altered Moves Two,thrash metal
Alternator,thrash metal
Althotas,black metal//death metal//thrash metal
Altiom,symphonic metal//progressive metal
Altus Mortem,thrash metal
Altus Verum,black metal
Alughana,folk metal
Alunah,stoner metal//doom metal
Alustrium,death metal//progressive metal
Alvenrad,black metal//folk metal
Alvheim,black metal//viking metal
Alvsvart,black metal//death metal
Alwaar,black metal
Alyanza,thrash metal
Alyis,thrash metal
Amabilis Insania,death metal//doom metal
Amachine,death metal
Amadeus,progressive metal//gothic metal
Amaguq,black metal
Amak Kuok,thrash metal//heavy metal//speed metal
Amala,heavy metal//folk metal
Amalgam,thrash metal
Amaltea,power metal//heavy metal
Amaran,power metal
Amaranhig,death metal
Amaranthine Trampler,doom metal
Amaranthys,gothic metal
Amargo,black metal
Amaryllis,progressive metal
Amassing the Infinite,death metal//progressive metal
Amatoria,heavy metal
Amattr,stoner metal//doom metal
Amayeta,progressive metal
Ambassador of Anguish,black metal
Amber of the Land,death metal//progressive metal
Ambevilence,black metal//death metal
Ambience of Souls,black metal
Ambiguous,death metal
